Item Number,Item Name,Buy,Sell,Inventory,Asset Acct,Income Acct,Expense/COS Acct,Description,Use Desc. On Invoice,Custom List 1,Custom List 2,Custom List 3,Custom Field 1,Custom Field 2,Custom Field 3,Primary Supplier,Supplier Item Number,Tax Code When Bought,Buy Unit Measure,No. Items/Buy Unit,Reorder Quantity,Minimum Level,Selling Price,Sell Unit Measure,Tax Code When Sold,Sell Price Inclusive,Sales Tax Calc. Method,No. Items/Sell Unit,Quantity Break 1,Quantity Break 2,Quantity Break 3,Quantity Break 4,Quantity Break 5,"Price Level A, Qty Break 1","Price Level B, Qty Break 1","Price Level C, Qty Break 1","Price Level D, Qty Break 1","Price Level E, Qty Break 1","Price Level F, Qty Break 1","Price Level A, Qty Break 2","Price Level B, Qty Break 2","Price Level C, Qty Break 2","Price Level D, Qty Break 2","Price Level E, Qty Break 2","Price Level F, Qty Break 2","Price Level A, Qty Break 3","Price Level B, Qty Break 3","Price Level C, Qty Break 3","Price Level D, Qty Break 3","Price Level E, Qty Break 3","Price Level F, Qty Break 3","Price Level A, Qty Break 4","Price Level B, Qty Break 4","Price Level C, Qty Break 4","Price Level D, Qty Break 4","Price Level E, Qty Break 4","Price Level F, Qty Break 4","Price Level A, Qty Break 5","Price Level B, Qty Break 5","Price Level C, Qty Break 5","Price Level D, Qty Break 5","Price Level E, Qty Break 5","Price Level F, Qty Break 5",Inactive Item,Standard Cost,Default Ship/Sell Location,Default Recvd/Auto Location
CH0098,Combi Oven Cleaner 5L,B,S,I,11591,41071,51081,Combi Oven Cleaner 5L\r\n,X,Chemicals,Detergent,NIL,BTL,5L,,Able Westchem,WC83-5,GST,BTL,1,0,0,22.4,BTL,GST,,0,1,0,0,0,0,0,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,16.57,,
CH0099,Combi Oven Rinse Aid 5L,B,S,I,11591,41071,51081,Combi Oven Rinse Aid 5L\r\n,X,Chemicals,Detergent,NIL,BTL,5L,,Able Westchem,WC84-5,GST,BTL,1,0,0,23.4,BTL,GST,,0,1,0,0,0,0,0,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,17.31,,
S/Steamer,Steel Steamer Set 50cm,B,S,I,11591,41071,51081,Steel Steamer Set 50cm,X,Plastic Containers,Microwavable Containers Clear,Containers,SET,SET,,Austop,#2861 #2860,GST,SET,1,0,0,0,SET,GST,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,,
FMT0028,MBL.5x5 Shallow Black FoamTray,B,S,I,11591,41071,51081,5x5 Shallow Black Foam Tray,X,Foam Containers,Foam Plate,Containers,SLV,125/SLV x 8,,MBL Food Services,2403176,GST,CTN,8,0,0,6.14,SLV,GST,,0,1,0,0,0,0,0,6.14,4.15,4.15,4.15,4.15,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,36.3,,
NFP0056,FP.ECL040Natural Fibre Oval +,B,S,I,11591,41071,51081,Natural Fibre Oval Plate 260 x 192 x 23 \r\n,X,Tabletops,Plate and Bowls Eco,NIL,CTN,25/SLV x 20,,FPA,EC-PL040,GST,CTN,1,0,0,87.65,CTN,GST,,0,1,0,0,0,0,0,87.65,87.15,87.15,87.15,87.15,87.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,64.83,,
CW0049,MP.CACW45D..Zip C/Wrap 45cm,B,S,I,11591,41071,51081,StretchandSeal Foodservice Cling Wrap 45 cm wide 600 metres\r\n ZipSafe Dispenser Pack\r\n,X,Kitchen,Cling Wrap,NIL,ROLL,6 Rolls / CTN,,MPM Marketing Service,CA-CW45D,GST,CTN,6,0,0,25.02,ROLL,GST,,0,1,0,0,0,0,0,25.02,22.5,22.5,22.5,22.5,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,111.03,,
FW3051,ALPHA.6004S..comm livi wipe,B,S,I,11591,41071,51081,Livi Essentials Commercial Wipe Rolls,X,Janitorial and Washroom,Wipes,NIL,ROLL,ROLL,,Alpha Cleaning Supplie Pty Ltd,6004S,GST,ROLL,1,0,0,7.59,ROLL,GST,,0,1,0,0,0,0,0,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,46.71,,
FW3052,FP.CWI0900..Blue Wipes on Roll,B,S,I,11591,41071,51081,Blue Wipes on Roll,X,Janitorial and Washroom,Wipes,NIL,ROLL,4 Rolls / CTN,,FPA,C-WI0900,GST,CTN,4,0,0,11.53,ROLL,GST,,0,1,0,0,0,0,0,11.53,12.87,12.87,12.87,12.87,12.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,34.1,,
GP0066,MP.CAGPROLL..Grease/PF Roll 30,B,S,I,11591,41071,51081,Greaseproof Paper Roll\r\n Dispenser Pack\r\n 30 cm wide\r\n120 metres,X,Kitchen,Baking & silicon baking paper,NIL,ROLL,4 Rolls / CTN,,MPM Marketing Service,CA-GP-ROLL,GST,CTN,4,0,0,9.7,ROLL,GST,,0,1,0,0,0,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,28.7,,
GL0023,MP.PSSEGSML..Clear Stretchie S,B,S,I,11591,41071,51081,Small Stretchies Gloves PrimeSource Powder Free  Clear\r\n Smale\r\n,X,Janitorial and Washroom,STRETCHIES P/F Gloves,NIL,BOX,200/Box x 10,,MPM Marketing Service,PS-SEG-SML,GST,CTN,10,0,0,7.73,BOX,GST,,0,1,0,0,0,0,0,7.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,59.47,,
